"price","bed","bath","acre_lot","city","state","zip_code","house_size"
860000,"4","4",0.57,"Foxboro","Massachusetts",2035,3119
485000,"3","2",0.27,"Stoughton","Massachusetts",2072,1451
600000,"4","1",0.44,"Stoughton","Massachusetts",2072,1900
1150000,"4","3",0.92,"Sharon","Massachusetts",2067,3325
1099000,"2","1",0.03,"Boston","Massachusetts",2116,1207
869000,"4","3",0.11,"Milton","Massachusetts",2186,2438
689900,"3","3",0.69,"Mansfield","Massachusetts",2048,2182
599900,"4","2",0.26,"Walpole","Massachusetts",2032,1734
625000,"3","2",0.26,"Norwood","Massachusetts",2062,2110
489000,"2","1",0.23,"Sharon","Massachusetts",2067,898
1100000,"5","4",1.03,"Easton","Massachusetts",2356,3734
699900,"4","2",0.25,"Milton","Massachusetts",2186,1691
519900,"3","2",0.17,"Stoughton","Massachusetts",2072,1332
519900,"3","2",0.23,"Stoughton","Massachusetts",2072,1547
979000,"5","3",0.17,"Norwood","Massachusetts",2062,2520
825000,"4","3",0.28,"Sharon","Massachusetts",2067,2680
585000,"4","3",0.33,"Canton","Massachusetts",2021,1757
600000,"3","2",0.46,"Sharon","Massachusetts",2067,1628
1200000,"3","3",0.96,"Sharon","Massachusetts",2067,3299
849900,"4","3",1.38,"Foxboro","Massachusetts",2035,2776
999900,"4","3",0.35,"Foxboro","Massachusetts",2035,3050
549000,"3","2",0.4,"Walpole","Massachusetts",2081,1527
749900,"3","3",0.4,"Norwood","Massachusetts",2062,1544
540000,"2","2",0.08,"Norwood","Massachusetts",2062,1796
849999,"4","3",0.5,"Foxboro","Massachusetts",2035,2728
499900,"6","2",0.09,"Norwood","Massachusetts",2062,2089
900000,"4","2",0.51,"Canton","Massachusetts",2021,2832
655000,"3","3",0.49,"Norwood","Massachusetts",2062,2112
874900,"4","3",0.27,"Norwood","Massachusetts",2062,3026
399900,"4","4",0.42,"Sharon","Massachusetts",2067,1890
527900,"4","2",0.12,"Norwood","Massachusetts",2062,1411
490000,"3","2",0.18,"Canton","Massachusetts",2021,1247
985000,"4","3",2.36,"Easton","Massachusetts",2356,3863
890000,"3","3",0.17,"Milton","Massachusetts",2186,1839
785000,"2","3",1,"Walpole","Massachusetts",2032,2105
1075000,"4","3",0.35,"Canton","Massachusetts",2021,3532
589000,"4","3",0.19,"Boston","Massachusetts",2131,1394
374900,"4","2",0.17,"Foxboro","Massachusetts",2035,1513
699900,"4","2",0.51,"Foxboro","Massachusetts",2035,2496
1100000,"3","3",2.05,"Walpole","Massachusetts",2081,3072
469000,"3","2",0.69,"Mansfield","Massachusetts",2048,1540
420000,"3","1",0.26,"Walpole","Massachusetts",2081,852
825000,"4","3",1.67,"Foxboro","Massachusetts",2035,3120
625000,"3","2",0.37,"Norwood","Massachusetts",2062,1895
849900,"4","3",0.35,"Canton","Massachusetts",2021,2520
1595000,"4","4",0.93,"Milton","Massachusetts",2186,3041
249900,"3","1",0.62,"Stoughton","Massachusetts",2072,1056
525000,"3","2",0.92,"Easton","Massachusetts",2375,1256
399900,"3","1",0.19,"Mansfield","Massachusetts",2048,1068
674900,"4","3",1.98,"Foxboro","Massachusetts",2035,2070
619900,"3","3",0.4,"Randolph","Massachusetts",2368,1867
575000,"3","2",0.46,"Sharon","Massachusetts",2067,1388
529900,"4","1",1.08,"Walpole","Massachusetts",2081,1500
675000,"3","3",0.37,"Stoughton","Massachusetts",2072,2951
1025000,"4","4",0.43,"Walpole","Massachusetts",2081,3396
745000,"4","3",0.5,"Norwood","Massachusetts",2062,1782
525000,"3","2",0.34,"Foxboro","Massachusetts",2035,1724
899000,"4","3",0.75,"Canton","Massachusetts",2021,3000
265000,"3","2",0.11,"Providence","Rhode Island",2909,1238
284900,"3","1",0.12,"Pawtucket","Rhode Island",2861,1019
360000,"2","1",1.5,"Rehoboth","Massachusetts",2769,1357
270000,"4","2",0.06,"Providence","Rhode Island",2904,1164
629000,"4","2",0.15,"East Providence","Rhode Island",2916,2192
285000,"3","2",0.07,"Providence","Rhode Island",2908,1008
569900,"4","2",1.5,"Rehoboth","Massachusetts",2769,3046
